Clause Group,Translation,Theme
13º Salário,13th Salary,Wages
Aceitação de Atestados Médicos,Acceptance of Medical Certificates,Health
Acesso a Informações da Empresa,Access to Company Information,Union
Acesso do Sindicato ao Local de Trabalho,Union Access to Workplace,Union
Acompanhamento de Acidentado e/ou Portador de Doença Profissional,Assistance to Workers with Accidental or Occupational Injuries,Safety / Injury / Disability
Adaptação de função,Function Adaptation,Work Adaptation / Training
Adicional Noturno,Nightshift Pay,Work Time
Adicional de Hora-Extra,Overtime Pay,Work Time
Adicional de Insalubridade,Hazard Pay (Health),Health
Adicional de Penosidade/Turno,Penalty/Shift Pay,Work Time
Adicional de Periculosidade,Hazard Pay (Danger),Safety / Injury / Disability
Adicional de Sobreaviso,On Call Pay,Work Time
Adicional de Tempo de Serviço,Tenure Pay,Incentives
Ajuda de Custo,Subsistence Allowance,Food / Education / Housing
Aplicação do Instrumento Coletivo,Application of Agreement,Contract Agreement
Aposentadoria,Retirement,Retirement
Assédio Moral,Moral Harassment,Work Environment / Harassment
Assédio Sexual,Sexual Harassment,Work Environment / Harassment
Atribuições da Função/Desvio de Função,Function Consistencies/Deviations,Work Adaptation / Training
Auxílio Alimentação,Food Assistance,Food / Education / Housing
Auxílio Creche,Childcare Assistance,Family
Auxílio Doença/Invalidez,Injury / Disability Assistance,Safety / Injury / Disability
Auxílio Educação,Education Assistance,Food / Education / Housing
Auxílio Habitação,Housing Assistance,Food / Education / Housing
Auxílio Maternidade,Maternity Assistance,Family
Auxílio Morte/Funeral,Death / Funeral Assistance,Family
Auxílio Saúde,Health Care,Health
Auxílio Transporte,Transportation Assistance,Food / Education / Housing
Avaliação de Desempenho,Performance Evaluation,Incentives
Aviso Prévio,Advance Notice,Dismissals / Transfers
"CIPA – composição, eleição, atribuições, garantias aos cipeiros","Internal Committee on Accident Prevention - composition, election, assignments, guarantees ",Safety / Injury / Disability
"CIPA - composição, eleição, atribuições, garantias aos cipeiros","Internal Committee on Accident Prevention - composition, election, assignments, guarantees ",Safety / Injury / Disability
"CLÁUSULA PRIMEIRA  - JORNADA DE TRABALHOA jornada de trabalho dos empregados das empresas é de 40 (quarenta) horas semanais de segunda a sexta-feira, decorrente da liberação do trabalho aos sábados.",Work Day,Work Time
Campanhas Educativas sobre Saúde,Health Education Campaigns,Health
Comissão de Fábrica,Factory Fee,Fees
Comissões,Commissions,Fees
Compensação de Jornada,Work Day Compensation,Wages
Condições de Ambiente de Trabalho,Working Environment Conditions,Work Environment / Harassment
Contrato a Tempo Parcial,Part Time Contract,Staffing / Hiring / Outsourcing
Contribuições Sindicais,Union Contributions,Union
Controle da Jornada,Work Day Controls,Work Time
Descanso Semanal,Weekly Rest,Work Time
Descontos Salariais,Wage Deductions,Wages
Descumprimento do Instrumento Coletivo,Non-compliance with Agreement,Contract Agreement
Desligamento/Demissão,Separation / Dismissal,Dismissals / Transfers
Direito de Oposição ao Desconto de Contribuições Sindicais,Right of Opposition to the Discount of Union Contributions,Union
Duração e Concessão de Férias,Vacation Duration and Concession,Work Time
Duração e Horário,Duration and Schedule,Work Time
Empréstimos,Loans,Food / Education / Housing
Equipamentos de Proteção Individual,Individual Safety Equipment,Safety / Injury / Disability
Equipamentos de Segurança,Safety Equipment,Safety / Injury / Disability
Estabilidade Aborto,Abortion Assurances,Family
Estabilidade Acidentados/Portadores Doença Profissional,Accidental or Occupational Injury Assurances,Safety / Injury / Disability
Estabilidade Adoção,Adoption Assurances,Family
Estabilidade Aposentadoria,Retirement Assurances,Retirement
Estabilidade Aprendiz,Apprentice Assurances,Work Adaptation / Training
Estabilidade Geral,General Assurances,Other
Estabilidade Mãe,Maternity Assurances,Family
Estabilidade Pai,Paternity Assurances,Family
Estabilidade Portadores Doença Não Profissional,Non-occupational Injury Assurances,Safety / Injury / Disability
Estabilidade Serviço Militar,Military Service Assurances,Work Adaptation / Training
Estágio/Aprendizagem,Internship / Apprenticeship,Work Adaptation / Training
Exames Médicos,Medical Exams,Health
Faltas,Absences,Work Time
Ferramentas e Equipamentos de Trabalho,Tools and Equipment,Safety / Injury / Disability
Férias Coletivas,Collective Vacations,Work Time
Garantias a Diretores Sindicais,Guarantees to Union Officers,Union
Garantias a Portadores de Doença não Profissional,Guarantees to Workers with Non-occupational Injuries,Safety / Injury / Disability
Gratificação de Função,Function Bonus,Incentives
Igualdade de Oportunidades,Equality of Opportunities,Equality / Fairness
Insalubridade,Insalubrity,Health
Intervalos para Descanso,Breaks,Work Time
Isonomia Salarial,Wage Fairness,Equality / Fairness
"Jornadas Especiais (mulheres, menores, estudantes)","Special Work Days (women, minors, students)",Family
Liberação de Empregados para Atividades Sindicais,Employee Accommodation for Union Activities,Union
Licença Aborto,Abortion Leave,Family
Licença Adoção,Adoption Leave,Family
Licença Maternidade,Maternity Leave,Family
Licença Remunerada,Paid Leave,Work Time
Licença não Remunerada,Unpaid Leave,Work Time
Manutenção de Máquinas e Equipamentos,Machine and Equipment Maintenance,Safety / Injury / Disability
Mecanismos de Solução de Conflitos,Mechanisms for Conflict Resolution,Union
Mão-de-Obra Feminina,Female Workforce,Family
Mão-de-Obra Jovem,Youth Workforce,Work Adaptation / Training
Mão-de-Obra Temporária/Terceirização,Temporary Workforce / Outsourcing,Staffing / Hiring / Outsourcing
Mão-de-obra de Faixa Etária Avançada,Senior Workforce,Retirement
Normas Disciplinares,Disciplinary Norms,Incentives
Normas para Admissão/Contratação,Admission / Hiring Rules,Staffing / Hiring / Outsourcing
Outras Disposições,Other Provisions,Other
Outras Gratificações,Other Bonuses,Incentives
Outras Normas de Prevenção de Acidentes e Doenças Profissionais,Other Rules for the Prevention of Accidents and Occupational Injuries,Safety / Injury / Disability
Outras Normas de Proteção ao Acidentado ou Doente,Other Rules for Protection Against Accidents and Injuries,Safety / Injury / Disability
Outras disposições sobre férias e licenças,Other Provisions on Vacations and Leaves,Work Time
Outras disposições sobre jornada,Other Provisions on the Work Day,Work Time
Outras disposições sobre relação entre sindicato e empresa,Other Provisions on the Relationship between Union and Company,Union
Outras disposições sobre representação e organização,Other provisions on Representation and Organization,Union
Outras estabilidades,Other Assurances,Other
Outras normas de pessoal,Other Staffing Rules,Staffing / Hiring / Outsourcing
"Outras normas referentes a admissão, demissão e modalidades de contratação","Other Rules Regarding Admission, Dismissal and Contracting Modalities",Staffing / Hiring / Outsourcing
Outras normas referentes a condições para o exercício do trabalho,Other Rules Regarding Working Conditions,Safety / Injury / Disability
"Outras normas referentes a salários, reajustes, pagamentos e critérios para cálculo","Other Rules Regarding Salaries, Adjustments, Payments and Calculation Criteria",Wages
Outros Adicionais,Other Additional Pay,Wages
Outros Auxílios,Other Assistances,Other
Outros grupos específicos,Other Specific Groups,Other
PARTICIPAÇÃO NOS LUCROS E/OU RESULTADOS,Profit Sharing,Equality / Fairness
Pagamento de Salário – Formas e Prazos,Salary Payment,Wages
Participação dos Trabalhadores na Gestão das Empresas,Employee Participation in Business Management,Equality / Fairness
Participação nos Lucros e/ou Resultados,Profit Sharing,Equality / Fairness
Periculosidade,Danger,Safety / Injury / Disability
Piso Salarial,Minimum Wage,Wages
Plano de Cargos e Salários,Jobs and Salary Schedule,Wages
Política para Dependentes,Policy for Dependents,Family
Políticas de Manutenção do Emprego,Employment Maintenance Policies,Dismissals / Transfers
Portadores de necessidades especiais,People with Special Needs,Safety / Injury / Disability
Primeiros Socorros,First Aid,Health
Procedimentos em Relação a Greves e Grevistas,Procedures in Relation to Strikes and Strikers,Union
Profissionais de Saúde e Segurança,Health and Safety Professionals,Health
Prorrogação/Redução de Jornada,Extension / Reduction of Work Day,Work Time
Prêmios,Awards,Incentives
Qualificação/Formação Profissional,Qualification / Vocational Training,Work Adaptation / Training
Readaptação do Acidentado e/ou Portador de Doença Profissional,Rehabilitation of Workers with Accidental or Occupational Injuries,Safety / Injury / Disability
Reajustes/Correções Salariais,Salary Adjustments / Corrections,Wages
Regras para a Negociação,Negotiation Rules,Union
Remuneração DSR,Weekly Rest Pay,Work Time
Remuneração de Férias,Vacation Pay,Work Time
Renovação/Rescisão do Instrumento Coletivo,Renewal / Termination of the Agreement,Contract Agreement
Representante Sindical,Union Representative,Union
Salário Estágio/Menor Aprendiz,Intern / Apprentice Salary,Work Adaptation / Training
Salário Família,Family Salary,Family
Salário produção ou tarefa,Production or Task Salary,Incentives
Seguro de Vida,Life Insurance,Family
Sindicalização (campanhas e contratação de sindicalizados),Unionization (campaigns and hiring of union members),Union
Sobreaviso,On Call,Work Time
Suspensão do Contrato de Trabalho,Suspension of Employment Contract,Dismissals / Transfers
Transferência setor/empresa,Transfers,Dismissals / Transfers
Treinamento para Prevenção de Acidentes e Doenças do Trabalho,Workplace Accident and Injury Prevention Training,Safety / Injury / Disability
Turnos Ininterruptos de Revezamento,Uninterrupted Relayed Shifts,Work Time
Uniforme,Uniforms,Work Environment / Harassment
